acousticness,danceability,energy,instrumentalness,key,loudness,mode,speechiness,valence,target
0.0369,0.448,0.733,0.0425,3,-6.238,1,0.0292,0.404,1
0.135,0.756,0.415,0,8,-14.429,1,0.0555,0.662,1
0.196,0.388,0.688,0.00883,5,-8.407,0,0.0708,0.804,1
0.0567,0.838,0.537,0.799,8,-11.689,1,0.116,0.357,1
0.109,0.834,0.481,0.822,8,-9.511,1,0.135,0.306,1
0.103,0.835,0.481,0.81,8,-9.606,1,0.136,0.304,1
0.0624,0.476,0.571,0.353,5,-7.223,0,0.055,0.419,1
0.0956,0.646,0.929,1.12E-06,2,-1.501,1,0.194,0.229,1
0.0184,0.845,0.59,0.00581,0,-8.225,1,0.0538,0.346,1
0.000392,0.294,0.786,0.865,2,-3.626,1,0.0378,0.136,1
0.00144,0.211,0.963,0.000732,7,-4.061,1,0.118,0.395,1
0.0128,0.747,0.705,0,9,-5.137,0,0.126,0.571,1
0.00969,0.589,0.621,0.00104,5,-6.902,0,0.0468,0.398,1
0.0101,0.651,0.642,0.000186,2,-4.276,1,0.167,0.711,1
0.011,0.757,0.578,0.00672,0,-3.886,1,0.0386,0.952,1
0.019,0.695,0.94,0.8,7,-2.935,1,0.127,0.337,1
0.0551,0.547,0.643,0,1,-8.904,1,0.227,0.187,1
0.106,0.912,0.317,0.000208,6,-12.719,0,0.0378,0.949,1
0.00626,0.807,0.634,0.0288,11,-9.035,1,0.0727,0.674,1
0.014,0.962,0.592,0.642,9,-11.716,0,0.108,0.361,1
0.0639,0.742,0.945,0.165,5,-6.445,1,0.0428,0.748,1
0.0207,0.808,0.41,0.364,9,-12.428,1,0.0658,0.752,1
0.189,0.74,0.798,0.00128,0,-6.55,1,0.146,0.574,1
0.251,0.569,0.74,2.68E-06,0,-6.235,1,0.283,0.709,1
0.259,0.763,0.491,0.902,9,-8.587,0,0.0316,0.475,1
0.19,0.703,0.412,5.26E-06,6,-9.827,0,0.0288,0.815,1
0.257,0.559,0.656,0.000171,9,-8.699,0,0.0469,0.671,1
0.407,0.688,0.488,0,11,-14.195,0,0.357,0.708,1
0.0505,0.794,0.51,1.81E-06,9,-7.314,1,0.42,0.189,1
0.000429,0.782,0.938,0.121,10,-8.692,0,0.05,0.872,1
0.00904,0.614,0.907,0.000131,4,-2.536,0,0.143,0.354,1
0.929,0.445,0.461,0.167,11,-11.488,1,0.0379,0.091,1
0.375,0.561,0.588,0,8,-7.628,1,0.413,0.683,1
0.135,0.749,0.647,0,2,-6.878,1,0.137,0.196,1
0.0202,0.67,0.544,0.00792,1,-9.643,0,0.124,0.331,1
0.00627,0.684,0.637,0,9,-6.378,1,0.061,0.245,1
2.60E-05,0.76,0.669,0.076,11,-8.583,1,0.0521,0.683,1
0.0227,0.698,0.804,0.0599,4,-6.616,1,0.111,0.786,1
0.000334,0.907,0.616,0.425,6,-7.073,0,0.0577,0.614,1
0.000624,0.906,0.648,0.0857,11,-8.742,0,0.0734,0.646,1
0.000334,0.907,0.616,0.425,6,-7.073,0,0.0577,0.614,1
0.809,0.833,0.684,0,7,-6.325,1,0.043,0.954,1
0.311,0.675,0.617,0,10,-7.74,1,0.256,0.508,1
0.00533,0.421,0.8,0.332,11,-5.85,1,0.303,0.0951,1
0.104,0.689,0.879,0.0376,0,-4.03,0,0.0978,0.544,1
0.674,0.462,0.449,0.000632,0,-9.271,0,0.0916,0.748,1
0.108,0.53,0.433,0,6,-10.598,1,0.185,0.272,1
0.377,0.497,0.734,0,1,-6.112,1,0.382,0.382,1
0.289,0.506,0.43,0.0139,10,-17.402,0,0.317,0.294,1
0.428,0.624,0.852,0.656,1,-10.184,1,0.153,0.517,1
0.8,0.611,0.9,0.872,1,-10.026,1,0.0593,0.322,1
0.518,0.672,0.527,0.26,9,-12.702,0,0.111,0.356,1
0.000702,0.854,0.719,0.308,10,-9.335,0,0.0655,0.471,1
0.135,0.691,0.737,0.0291,10,-5.758,0,0.0447,0.675,1
0.887,0.366,0.407,0.263,2,-10.047,1,0.0265,0.352,1
0.125,0.726,0.497,0.89,10,-10.742,0,0.0433,0.472,1
0.0414,0.811,0.635,0.142,7,-8.394,1,0.0971,0.752,1
0.0196,0.765,0.891,0.0145,9,-6.43,0,0.0514,0.564,1
0.00176,0.819,0.777,0.0931,8,-7.734,0,0.0614,0.769,1
0.00919,0.45,0.782,0.101,11,-6.769,1,0.0364,0.209,1
0.0564,0.607,0.435,0.0178,6,-6.604,0,0.0475,0.255,1
0.359,0.7,0.986,0.0221,0,-4.403,1,0.0573,0.64,1
0.0296,0.907,0.643,0.0265,1,-8.657,0,0.0549,0.363,1
0.0194,0.896,0.482,0.033,0,-8.35,1,0.127,0.847,1
0.00236,0.733,0.87,0.00102,0,-6.199,1,0.0624,0.657,1
0.000173,0.641,0.954,0.425,5,-6.765,0,0.0589,0.827,1
0.00011,0.742,0.965,0.607,1,-8.291,0,0.0538,0.391,1
0.432,0.744,0.685,0,7,-8.332,1,0.34,0.56,1
0.00189,0.554,0.749,0.39,10,-7.365,1,0.0266,0.824,1
0.314,0.713,0.611,0,1,-6.702,0,0.241,0.783,1
0.000869,0.754,0.877,0,2,-3.486,1,0.0586,0.557,1
0.0324,0.771,0.416,0,0,-8.188,0,0.0894,0.218,1
0.00469,0.821,0.469,0,8,-7.152,1,0.0473,0.321,1
0.199,0.743,0.359,0.00611,1,-10.401,1,0.0794,0.588,1
0.15,0.516,0.718,0.0163,5,-8.571,0,0.257,0.58,1
0.352,0.494,0.78,0,2,-5.841,1,0.301,0.884,1
0.189,0.555,0.759,0.459,7,-6.214,0,0.142,0.23,1
0.003,0.754,0.968,0.795,9,-4.419,1,0.168,0.55,1
0.00275,0.476,0.818,0.757,2,-7.933,1,0.0318,0.745,1
0.0626,0.697,0.655,0.774,1,-9.781,0,0.15,0.436,1
0.108,0.804,0.708,0.0636,10,-5.099,0,0.0394,0.966,1
0.0516,0.718,0.921,0.0473,5,-3.978,0,0.0375,0.898,1
0.27,0.865,0.896,0.0488,3,-7.031,0,0.0623,0.939,1
0.000546,0.597,0.444,0.051,2,-8.39,0,0.03,0.361,1
0.017,0.57,0.736,5.74E-05,9,-5.822,1,0.0844,0.267,1
0.0488,0.633,0.492,0.00047,2,-7.672,1,0.0524,0.357,1
0.0124,0.612,0.858,0,7,-5.437,0,0.0478,0.451,1
0.00584,0.394,0.669,0,7,-4.461,1,0.056,0.195,1
0.0347,0.635,0.459,0.000184,2,-7.59,1,0.0491,0.345,1
0.00444,0.413,0.633,0,7,-5.188,1,0.0558,0.184,1
0.0289,0.93,0.483,0.00244,3,-9.925,1,0.0411,0.577,1
0.423,0.786,0.525,0.461,1,-8.271,0,0.0388,0.43,1
0.00142,0.728,0.77,0.229,10,-4.945,0,0.0426,0.668,1
0.000289,0.771,0.949,0.602,8,-4.712,1,0.175,0.372,1
0.0086,0.246,0.843,0.241,4,-10.022,1,0.0396,0.681,1
0.000686,0.745,0.857,0.2,0,-5.754,1,0.0393,0.946,1
0.00166,0.587,0.841,0.53,11,-5.079,0,0.0476,0.696,1
0.122,0.817,0.528,0,1,-6.551,1,0.0656,0.161,1
0.000825,0.832,0.496,0.825,11,-10.601,0,0.0597,0.854,1
0.124,0.612,0.628,0.85,1,-7.82,1,0.0447,0.373,1
0.0914,0.568,0.662,0.459,8,-10.651,0,0.257,0.452,1
0.0758,0.747,0.894,0.897,1,-5.226,1,0.0961,0.57,1
4.61E-06,0.479,0.854,5.72E-05,11,-6.101,1,0.0405,0.55,1
0.000341,0.821,0.902,0.909,11,-7.203,1,0.0542,0.269,1
0.0365,0.829,0.637,0.0233,5,-9.481,0,0.0882,0.688,1
0.503,0.683,0.478,5.26E-05,2,-12.501,1,0.0356,0.771,1
0.436,0.684,0.486,9.77E-05,2,-12.521,1,0.0385,0.821,1
0.0301,0.769,0.514,0.016,9,-14.157,1,0.052,0.719,1
0.00497,0.376,0.801,0.149,2,-10.662,0,0.0474,0.807,1
0.019,0.637,0.832,0.0563,6,-6.637,1,0.163,0.317,1
0.018,0.646,0.837,0.0403,6,-6.615,1,0.134,0.32,1
0.188,0.556,0.582,0.911,6,-10.65,0,0.0357,0.516,1
0.0602,0.658,0.835,0.00781,4,-7.165,0,0.0501,0.568,1
0.0214,0.465,0.633,0.79,11,-9.493,0,0.0578,0.0451,1
0.11,0.438,0.539,0,8,-9.578,1,0.166,0.0759,1
0.0036,0.396,0.601,0.531,0,-9.347,1,0.0515,0.351,1
0.000183,0.596,0.628,0.00767,5,-7.582,0,0.0503,0.52,1
4.91E-05,0.442,0.797,0.293,1,-7.352,1,0.0349,0.274,1
0.00632,0.374,0.937,0.0207,9,-3.882,1,0.082,0.337,1
0.0559,0.521,0.851,0,2,-3.235,1,0.0336,0.825,1
0.0789,0.577,0.941,0.207,10,-4.338,1,0.0422,0.381,1
0.0244,0.605,0.755,0.586,1,-5.169,1,0.0358,0.367,1
0.0957,0.747,0.722,0.000519,8,-7.33,1,0.0349,0.56,1
0.212,0.723,0.687,5.83E-05,11,-7.019,0,0.0373,0.867,1
0.203,0.791,0.916,0,2,-2.009,1,0.178,0.62,1
0.0739,0.833,0.663,0.00351,2,-3.639,1,0.105,0.457,1
0.0426,0.794,0.811,1.07E-06,6,-8.966,0,0.038,0.865,1
0.0267,0.821,0.793,1.37E-05,6,-9.003,0,0.0391,0.91,1
0.0378,0.81,0.793,1.82E-06,6,-9.404,0,0.0403,0.86,1
0.0281,0.64,0.888,8.01E-05,1,-5.251,0,0.169,0.664,1
0.0397,0.786,0.547,0.272,1,-11.416,1,0.262,0.68,1
0.132,0.635,0.766,0,11,-6.449,1,0.26,0.675,1
0.0482,0.653,0.817,0,1,-5.077,1,0.239,0.493,1
0.0193,0.751,0.882,0,1,-5.605,1,0.0819,0.657,1
0.32,0.723,0.848,0,5,-7.11,1,0.0833,0.261,1
0.0985,0.647,0.841,0,10,-2.507,1,0.164,0.886,1
0.00096,0.573,0.946,0.00191,7,-5.065,1,0.377,0.769,1
0.0641,0.667,0.673,4.00E-06,0,-7.574,1,0.323,0.661,1
0.228,0.628,0.568,0.0183,10,-10.695,1,0.14,0.618,1
0.00535,0.654,0.641,0.00321,8,-9.771,1,0.0482,0.778,1
0.00649,0.805,0.596,0.00772,7,-6.007,1,0.119,0.753,1
0.0167,0.797,0.961,0.919,10,-8.083,0,0.0677,0.355,1
0.0481,0.603,0.944,0,11,-3.626,0,0.347,0.398,1
0.0983,0.632,0.586,0.581,0,-11.333,1,0.0284,0.889,1
2.13E-05,0.259,0.847,0.823,2,-6.298,1,0.0332,0.682,1
0.081,0.651,0.77,6.54E-05,0,-8.08,0,0.0274,0.738,1
0.000195,0.122,0.913,0.713,11,-5.815,0,0.0499,0.0957,1
0.000407,0.796,0.774,0.812,9,-4.833,0,0.0509,0.327,1
0.56,0.654,0.499,0.907,4,-9.084,0,0.0428,0.124,1
0.000964,0.276,0.766,0.858,7,-6.012,0,0.0373,0.547,1
